occupation_code,occupation_name,education_required
43-6011,Executive secretaries and executive administrative assistants,High school diploma or equivalent
43-6012,Legal secretaries and administrative assistants,High school diploma or equivalent
43-6013,Medical secretaries and administrative assistants,High school diploma or equivalent
43-6014,"Secretaries and administrative assistants, except legal, medical, and executive",High school diploma or equivalent
43-9021,Data entry keyers,High school diploma or equivalent
43-9022,Word processors and typists,High school diploma or equivalent
43-9031,Desktop publishers,Associate's degree
43-9041,Insurance claims and policy processing clerks,High school diploma or equivalent
43-9051,"Mail clerks and mail machine operators, except postal service",High school diploma or equivalent
43-9061,"Office clerks, general",High school diploma or equivalent
43-9071,"Office machine operators, except computer",High school diploma or equivalent
43-9081,Proofreaders and copy markers,Bachelor's degree
43-9111,Statistical assistants,Bachelor's degree
43-9199,"Office and administrative support workers, all other",High school diploma or equivalent
45-1011,"First-line supervisors of farming, fishing, and forestry workers",High school diploma or equivalent
45-2011,Agricultural inspectors,Bachelor's degree
45-2021,Animal breeders,High school diploma or equivalent
45-2041,"Graders and sorters, agricultural products",No formal educational credential
45-2091,Agricultural equipment operators,No formal educational credential
45-2092,"Farmworkers and laborers, crop, nursery, and greenhouse",No formal educational credential
45-2093,"Farmworkers, farm, ranch, and aquacultural animals",No formal educational credential
45-2099,"Agricultural workers, all other",No formal educational credential
45-3031,Fishing and hunting workers,No formal educational credential
45-4011,Forest and conservation workers,High school diploma or equivalent
45-4021,Fallers,High school diploma or equivalent
45-4022,Logging equipment operators,High school diploma or equivalent
45-4023,Log graders and scalers,High school diploma or equivalent
45-4029,"Logging workers, all other",High school diploma or equivalent
47-1011,First-line supervisors of construction trades and extraction workers,High school diploma or equivalent
47-2011,Boilermakers,High school diploma or equivalent
47-2021,Brickmasons and blockmasons,High school diploma or equivalent
47-2022,Stonemasons,High school diploma or equivalent
47-2031,Carpenters,High school diploma or equivalent
47-2041,Carpet installers,No formal educational credential
47-2042,"Floor layers, except carpet, wood, and hard tiles",No formal educational credential
47-2043,Floor sanders and finishers,No formal educational credential
47-2044,Tile and stone setters,No formal educational credential
47-2051,Cement masons and concrete finishers,No formal educational credential
47-2053,Terrazzo workers and finishers,High school diploma or equivalent
47-2061,Construction laborers,No formal educational credential
47-2071,"Paving, surfacing, and tamping equipment operators",High school diploma or equivalent
47-2072,Pile driver operators,High school diploma or equivalent
47-2073,Operating engineers and other construction equipment operators,High school diploma or equivalent
47-2081,Drywall and ceiling tile installers,No formal educational credential
47-2082,Tapers,No formal educational credential
47-2111,Electricians,High school diploma or equivalent
47-2121,Glaziers,High school diploma or equivalent
47-2131,"Insulation workers, floor, ceiling, and wall",No formal educational credential
47-2132,"Insulation workers, mechanical",High school diploma or equivalent
47-2141,"Painters, construction and maintenance",No formal educational credential
47-2142,Paperhangers,No formal educational credential
47-2151,Pipelayers,No formal educational credential
47-2152,"Plumbers, pipefitters, and steamfitters",High school diploma or equivalent
47-2161,Plasterers and stucco masons,No formal educational credential
47-2171,Reinforcing iron and rebar workers,High school diploma or equivalent
47-2181,Roofers,No formal educational credential
47-2211,Sheet metal workers,High school diploma or equivalent
47-2221,Structural iron and steel workers,High school diploma or equivalent
47-2231,Solar photovoltaic installers,High school diploma or equivalent
47-3011,"Helpers--brickmasons, blockmasons, stonemasons, and tile and marble setters",No formal educational credential
47-3012,Helpers--carpenters,No formal educational credential
47-3013,Helpers--electricians,High school diploma or equivalent
47-3014,"Helpers--painters, paperhangers, plasterers, and stucco masons",No formal educational credential
47-3015,"Helpers--pipelayers, plumbers, pipefitters, and steamfitters",High school diploma or equivalent
47-3016,Helpers--roofers,No formal educational credential
47-3019,"Helpers, construction trades, all other",No formal educational credential
47-4011,Construction and building inspectors,High school diploma or equivalent
47-4021,Elevator and escalator installers and repairers,High school diploma or equivalent
47-4031,Fence erectors,No formal educational credential
47-4041,Hazardous materials removal workers,High school diploma or equivalent
47-4051,Highway maintenance workers,High school diploma or equivalent
47-4061,Rail-track laying and maintenance equipment operators,High school diploma or equivalent
47-4071,Septic tank servicers and sewer pipe cleaners,High school diploma or equivalent
47-4090,Miscellaneous construction and related workers,High school diploma or equivalent
47-5011,"Derrick operators, oil and gas",No formal educational credential
47-5012,"Rotary drill operators, oil and gas",No formal educational credential
47-5013,"Service unit operators, oil and gas",No formal educational credential
47-5022,"Excavating and loading machine and dragline operators, surface mining",High school diploma or equivalent
47-5023,"Earth drillers, except oil and gas",High school diploma or equivalent
47-5032,"Explosives workers, ordnance handling experts, and blasters",High school diploma or equivalent
47-5041,Continuous mining machine operators,No formal educational credential
47-5043,"Roof bolters, mining",High school diploma or equivalent
47-5044,"Loading and moving machine operators, underground mining",No formal educational credential
47-5049,"Underground mining machine operators, all other",No formal educational credential
47-5051,"Rock splitters, quarry",No formal educational credential
47-5071,"Roustabouts, oil and gas",No formal educational credential
47-5081,Helpers--extraction workers,High school diploma or equivalent
47-5099,"Extraction workers, all other",High school diploma or equivalent
49-1011,"First-line supervisors of mechanics, installers, and repairers",High school diploma or equivalent
49-2011,"Computer, automated teller, and office machine repairers","Some college, no degree"
49-2021,"Radio, cellular, and tower equipment installers and repairers",Associate's degree
49-2022,"Telecommunications equipment installers and repairers, except line installers",Postsecondary nondegree award
49-2091,Avionics technicians,Postsecondary nondegree award
49-2092,"Electric motor, power tool, and related repairers",High school diploma or equivalent
49-2093,"Electrical and electronics installers and repairers, transportation equipment",Postsecondary nondegree award
49-2094,"Electrical and electronics repairers, commercial and industrial equipment",Postsecondary nondegree award
49-2095,"Electrical and electronics repairers, powerhouse, substation, and relay",Postsecondary nondegree award
49-2096,"Electronic equipment installers and repairers, motor vehicles",High school diploma or equivalent
49-2097,Audiovisual equipment installers and repairers,Postsecondary nondegree award
49-2098,Security and fire alarm systems installers,High school diploma or equivalent
49-3011,Aircraft mechanics and service technicians,Postsecondary nondegree award
49-3021,Automotive body and related repairers,High school diploma or equivalent
49-3022,Automotive glass installers and repairers,High school diploma or equivalent
49-3023,Automotive service technicians and mechanics,Postsecondary nondegree award
49-3031,Bus and truck mechanics and diesel engine specialists,High school diploma or equivalent
49-3041,Farm equipment mechanics and service technicians,High school diploma or equivalent
49-3042,"Mobile heavy equipment mechanics, except engines",High school diploma or equivalent
49-3043,Rail car repairers,High school diploma or equivalent
49-3051,Motorboat mechanics and service technicians,High school diploma or equivalent
49-3052,Motorcycle mechanics,Postsecondary nondegree award
49-3053,Outdoor power equipment and other small engine mechanics,High school diploma or equivalent
49-3091,Bicycle repairers,High school diploma or equivalent
49-3092,Recreational vehicle service technicians,High school diploma or equivalent
49-3093,Tire repairers and changers,High school diploma or equivalent
49-9011,Mechanical door repairers,High school diploma or equivalent
49-9012,"Control and valve installers and repairers, except mechanical door",High school diploma or equivalent
49-9021,"Heating, air conditioning, and refrigeration mechanics and installers",Postsecondary nondegree award
49-9031,Home appliance repairers,High school diploma or equivalent
49-9041,Industrial machinery mechanics,High school diploma or equivalent
49-9043,"Maintenance workers, machinery",High school diploma or equivalent
49-9044,Millwrights,High school diploma or equivalent
49-9045,"Refractory materials repairers, except brickmasons",High school diploma or equivalent
49-9051,Electrical power-line installers and repairers,High school diploma or equivalent
49-9052,Telecommunications line installers and repairers,High school diploma or equivalent
49-9061,Camera and photographic equipment repairers,High school diploma or equivalent
49-9062,Medical equipment repairers,Associate's degree
49-9063,Musical instrument repairers and tuners,High school diploma or equivalent
49-9064,Watch and clock repairers,High school diploma or equivalent
49-9069,"Precision instrument and equipment repairers, all other",High school diploma or equivalent
49-9071,"Maintenance and repair workers, general",High school diploma or equivalent
49-9081,Wind turbine service technicians,Postsecondary nondegree award
49-9091,"Coin, vending, and amusement machine servicers and repairers",High school diploma or equivalent
49-9092,Commercial divers,Postsecondary nondegree award
49-9094,Locksmiths and safe repairers,High school diploma or equivalent
49-9095,Manufactured building and mobile home installers,High school diploma or equivalent
49-9096,Riggers,High school diploma or equivalent
49-9097,Signal and track switch repairers,High school diploma or equivalent
49-9098,"Helpers--installation, maintenance, and repair workers",High school diploma or equivalent
49-9099,"Installation, maintenance, and repair workers, all other",High school diploma or equivalent
51-1011,First-line supervisors of production and operating workers,High school diploma or equivalent
51-2011,"Aircraft structure, surfaces, rigging, and systems assemblers",High school diploma or equivalent
51-2021,"Coil winders, tapers, and finishers",High school diploma or equivalent
51-2028,"Electrical, electronic, and electromechanical assemblers, except coil winders, tapers, and finishers",High school diploma or equivalent
51-2031,Engine and other machine assemblers,High school diploma or equivalent
51-2041,Structural metal fabricators and fitters,High school diploma or equivalent
51-2051,Fiberglass laminators and fabricators,High school diploma or equivalent
51-2061,Timing device assemblers and adjusters,High school diploma or equivalent
51-2090,Miscellaneous assemblers and fabricators,High school diploma or equivalent
51-3011,Bakers,No formal educational credential
51-3021,Butchers and meat cutters,No formal educational credential
51-3022,"Meat, poultry, and fish cutters and trimmers",No formal educational credential
51-3023,Slaughterers and meat packers,No formal educational credential
51-3091,"Food and tobacco roasting, baking, and drying machine operators and tenders",No formal educational credential
51-3092,Food batchmakers,High school diploma or equivalent
51-3093,Food cooking machine operators and tenders,High school diploma or equivalent
51-3099,"Food processing workers, all other",No formal educational credential
51-4021,"Extruding and drawing machine setters, operators, and tenders, metal and plastic",High school diploma or equivalent
51-4022,"Forging machine setters, operators, and tenders, metal and plastic",High school diploma or equivalent
51-4023,"Rolling machine setters, operators, and tenders, metal and plastic",High school diploma or equivalent
51-4031,"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",High school diploma or equivalent
51-4032,"Drilling and boring machine tool setters, operators, and tenders, metal and plastic",High school diploma or equivalent
51-4033,"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",High school diploma or equivalent
51-4034,"Lathe and turning machine tool setters, operators, and tenders, metal and plastic",High school diploma or equivalent
51-4035,"Milling and planing machine setters, operators, and tenders, metal and plastic",High school diploma or equivalent
51-4041,Machinists,High school diploma or equivalent
51-4051,Metal-refining furnace operators and tenders,High school diploma or equivalent
51-4052,"Pourers and casters, metal",High school diploma or equivalent
51-4061,"Model makers, metal and plastic",High school diploma or equivalent
51-4062,"Patternmakers, metal and plastic",High school diploma or equivalent
51-4071,Foundry mold and coremakers,High school diploma or equivalent
51-4072,"Molding, coremaking, and casting machine setters, operators, and tenders, metal and plastic",High school diploma or equivalent
51-4081,"Multiple machine tool setters, operators, and tenders, metal and plastic",High school diploma or equivalent
51-4111,Tool and die makers,Postsecondary nondegree award
51-4121,"Welders, cutters, solderers, and brazers",High school diploma or equivalent
51-4122,"Welding, soldering, and brazing machine setters, operators, and tenders",High school diploma or equivalent
51-4191,"Heat treating equipment setters, operators, and tenders, metal and plastic",High school diploma or equivalent
51-4192,"Layout workers, metal and plastic",High school diploma or equivalent
51-4193,"Plating machine setters, operators, and tenders, metal and plastic",High school diploma or equivalent
51-4194,"Tool grinders, filers, and sharpeners",High school diploma or equivalent
51-4199,"Metal workers and plastic workers, all other",High school diploma or equivalent
51-5111,Prepress technicians and workers,Postsecondary nondegree award
51-5112,Printing press operators,High school diploma or equivalent
51-5113,Print binding and finishing workers,High school diploma or equivalent
51-6011,Laundry and dry-cleaning workers,No formal educational credential
51-6021,"Pressers, textile, garment, and related materials",No formal educational credential
51-6031,Sewing machine operators,No formal educational credential
51-6041,Shoe and leather workers and repairers,High school diploma or equivalent
51-6042,Shoe machine operators and tenders,High school diploma or equivalent
51-6051,"Sewers, hand",No formal educational credential
51-6052,"Tailors, dressmakers, and custom sewers",No formal educational credential
51-6061,Textile bleaching and dyeing machine operators and tenders,High school diploma or equivalent
51-6062,"Textile cutting machine setters, operators, and tenders",High school diploma or equivalent
51-6063,"Textile knitting and weaving machine setters, operators, and tenders",High school diploma or equivalent
51-6064,"Textile winding, twisting, and drawing out machine setters, operators, and tenders",High school diploma or equivalent
51-6091,"Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers",High school diploma or equivalent
51-6092,Fabric and apparel patternmakers,High school diploma or equivalent
51-6093,Upholsterers,High school diploma or equivalent
51-6099,"Textile, apparel, and furnishings workers, all other",High school diploma or equivalent
51-7011,Cabinetmakers and bench carpenters,High school diploma or equivalent
51-7021,Furniture finishers,High school diploma or equivalent
51-7031,"Model makers, wood",High school diploma or equivalent
51-7032,"Patternmakers, wood",High school diploma or equivalent
51-7041,"Sawing machine setters, operators, and tenders, wood",High school diploma or equivalent
51-7042,"Woodworking machine setters, operators, and tenders, except sawing",High school diploma or equivalent
51-7099,"Woodworkers, all other",High school diploma or equivalent
51-8011,Nuclear power reactor operators,High school diploma or equivalent
51-8012,Power distributors and dispatchers,High school diploma or equivalent
51-8013,Power plant operators,High school diploma or equivalent
51-8021,Stationary engineers and boiler operators,High school diploma or equivalent
51-8031,Water and wastewater treatment plant and system operators,High school diploma or equivalent
51-8091,Chemical plant and system operators,High school diploma or equivalent
51-8092,Gas plant operators,High school diploma or equivalent
51-8093,"Petroleum pump system operators, refinery operators, and gaugers",High school diploma or equivalent
51-8099,"Plant and system operators, all other",High school diploma or equivalent
51-9011,Chemical equipment operators and tenders,High school diploma or equivalent
51-9012,"Separating, filtering, clarifying, precipitating, and still machine setters, operators, and tenders",High school diploma or equivalent
51-9021,"Crushing, grinding, and polishing machine setters, operators, and tenders",High school diploma or equivalent
51-9022,"Grinding and polishing workers, hand",No formal educational credential
51-9023,"Mixing and blending machine setters, operators, and tenders",High school diploma or equivalent
51-9031,"Cutters and trimmers, hand",No formal educational credential
51-9032,"Cutting and slicing machine setters, operators, and tenders",High school diploma or equivalent
51-9041,"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",High school diploma or equivalent
51-9051,"Furnace, kiln, oven, drier, and kettle operators and tenders",High school diploma or equivalent
51-9061,"Inspectors, testers, sorters, samplers, and weighers",High school diploma or equivalent
51-9071,Jewelers and precious stone and metal workers,High school diploma or equivalent
51-9081,Dental laboratory technicians,High school diploma or equivalent
51-9082,Medical appliance technicians,High school diploma or equivalent
51-9083,Ophthalmic laboratory technicians,High school diploma or equivalent
51-9111,Packaging and filling machine operators and tenders,High school diploma or equivalent
51-9123,"Painting, coating, and decorating workers",No formal educational credential
51-9124,"Coating, painting, and spraying machine setters, operators, and tenders",High school diploma or equivalent
51-9141,Semiconductor processing technicians,High school diploma or equivalent
51-9151,Photographic process workers and processing machine operators,High school diploma or equivalent
51-9161,Computer numerically controlled tool operators,High school diploma or equivalent
51-9162,Computer numerically controlled tool programmers,Postsecondary nondegree award
51-9191,Adhesive bonding machine operators and tenders,High school diploma or equivalent
51-9192,"Cleaning, washing, and metal pickling equipment operators and tenders",High school diploma or equivalent
51-9193,Cooling and freezing equipment operators and tenders,High school diploma or equivalent
51-9194,Etchers and engravers,High school diploma or equivalent
51-9195,"Molders, shapers, and casters, except metal and plastic",High school diploma or equivalent
51-9196,"Paper goods machine setters, operators, and tenders",High school diploma or equivalent
51-9197,Tire builders,High school diploma or equivalent
51-9198,Helpers--production workers,High school diploma or equivalent
51-9199,"Production workers, all other",High school diploma or equivalent
53-1041,Aircraft cargo handling supervisors,High school diploma or equivalent
53-1047,"First-line supervisors of transportation and material moving workers, except aircraft cargo handling supervisors",High school diploma or equivalent
53-2011,"Airline pilots, copilots, and flight engineers",Bachelor's degree
53-2012,Commercial pilots,Postsecondary nondegree award
53-2021,Air traffic controllers,Associate's degree
53-2022,Airfield operations specialists,High school diploma or equivalent
53-2031,Flight attendants,High school diploma or equivalent
53-3011,"Ambulance drivers and attendants, except emergency medical technicians",High school diploma or equivalent
53-3031,Driver/sales workers,High school diploma or equivalent
53-3032,Heavy and tractor-trailer truck drivers,Postsecondary nondegree award
53-3033,Light truck drivers,High school diploma or equivalent
53-3051,"Bus drivers, school",High school diploma or equivalent
53-3052,"Bus drivers, transit and intercity",High school diploma or equivalent
53-3053,Shuttle drivers and chauffeurs,No formal educational credential
53-3054,Taxi drivers,No formal educational credential
53-3099,"Motor vehicle operators, all other",No formal educational credential
53-4011,Locomotive engineers,High school diploma or equivalent
53-4013,"Rail yard engineers, dinkey operators, and hostlers",High school diploma or equivalent
53-4022,"Railroad brake, signal, and switch operators and locomotive firers",High school diploma or equivalent
53-4031,Railroad conductors and yardmasters,High school diploma or equivalent
53-4041,Subway and streetcar operators,High school diploma or equivalent
53-4099,"Rail transportation workers, all other",High school diploma or equivalent
53-5011,Sailors and marine oilers,No formal educational credential
53-5021,"Captains, mates, and pilots of water vessels",Postsecondary nondegree award
53-5022,Motorboat operators,Postsecondary nondegree award
53-5031,Ship engineers,Postsecondary nondegree award
53-6011,Bridge and lock tenders,High school diploma or equivalent
53-6021,Parking attendants,No formal educational credential
53-6031,Automotive and watercraft service attendants,No formal educational credential
53-6032,Aircraft service attendants,High school diploma or equivalent
53-6041,Traffic technicians,High school diploma or equivalent
53-6051,Transportation inspectors,High school diploma or equivalent
53-6061,Passenger attendants,High school diploma or equivalent
53-6099,"Transportation workers, all other",High school diploma or equivalent
53-7011,Conveyor operators and tenders,No formal educational credential
53-7021,Crane and tower operators,High school diploma or equivalent
53-7031,Dredge operators,High school diploma or equivalent
53-7041,Hoist and winch operators,No formal educational credential
53-7051,Industrial truck and tractor operators,No formal educational credential
53-7061,Cleaners of vehicles and equipment,No formal educational credential
53-7062,"Laborers and freight, stock, and material movers, hand",No formal educational credential
53-7063,Machine feeders and offbearers,No formal educational credential
53-7064,"Packers and packagers, hand",No formal educational credential
53-7065,Stockers and order fillers,No formal educational credential
53-7071,Gas compressor and gas pumping station operators,High school diploma or equivalent
53-7072,"Pump operators, except wellhead pumpers",High school diploma or equivalent
53-7073,Wellhead pumpers,High school diploma or equivalent
53-7081,Refuse and recyclable material collectors,No formal educational credential
53-7121,"Tank car, truck, and ship loaders",No formal educational credential
53-7199,"Material moving workers, all other",No formal educational credential
