occupation_code,ai_exposure,occupation_name,employment_2023_x,employment_2023_y,weekly_pay,adverts,education_required,employment_growth,log_pay,log_employment,advert_intensity,skill,ai_skill_interaction,ai_exposure_z,pay_z,employment_z,advert_intensity_z,exposure_quantile
11-3111,1.298235,Compensation and Benefits Managers,18690.0,18690.0,136380.0,1.5,Bachelor's degree,0.0,11.823200386074644,9.835743900449609,8.025682182985554e-05,4.0,5.19294,1.305469664828535,2.3841896123482513,-0.3889676239944801,-0.1166964377351262,High
11-3121,1.320417,Human Resources Managers,200600.0,200600.0,136350.0,17.9,Bachelor's degree,0.0,11.822980388273734,12.209068154509973,8.923230309072781e-05,4.0,5.281668,1.327469741929701,2.383193813365373,0.04856235536703554,-0.1017887673186821,High
11-3131,1.284423,Training and Development Managers,41540.0,41540.0,125040.0,3.8,Bachelor's degree,0.0,11.736388965095358,10.634412097430104,9.1478093403948e-05,4.0,5.137692,1.2917709422191535,2.0077775968204,-0.33400879804532596,-0.09805866072708573,High
11-9013,-0.1443684,"Farmers, Ranchers, and Other Agricultural Managers",6150.0,6150.0,83770.0,85.5,High school diploma or equivalent,0.0,11.335830227147856,8.724207360800564,0.013902439024390244,1.0,-0.1443684,-0.12530240380388014,0.6378901293746845,-0.41912883525935507,22.84101810957199,Lower-middle
11-9021,1.029139,Construction Managers,329190.0,329190.0,104900.0,46.8,Bachelor's degree,0.0,11.560762794384388,12.704390370652954,0.0001421671375193657,4.0,4.116556,1.038580622018357,1.339264546315028,0.3578470568463236,-0.013867569304339534,High
11-9031,0.838007,"Education and Childcare Administrators, Preschool and Daycare",64090.0,64090.0,54290.0,5.5,Bachelor's degree,0.0,10.902095326899497,11.068043624498273,8.581682009673896e-05,4.0,3.352028,0.8490161672126559,-0.34064833780001125,-0.27977153217427886,-0.10746165474471045,Upper-middle
11-9032,1.048811,"Education Administrators, Kindergarten through Secondary",302580.0,302580.0,103460.0,20.8,Master's degree,0.0,11.546940343557505,12.620100984298826,6.874215083614251e-05,5.0,5.2440549999999995,1.0580912845706127,1.291466195136888,0.2938446779182277,-0.13582153143638367,High
11-9033,1.461149,"Education Administrators, Postsecondary",167270.0,167270.0,102610.0,15.1,Master's degree,0.0,11.538690672856255,12.027364552306054,9.027321097626591e-05,5.0,7.305745,1.467047546032185,1.2632518906220138,-0.03160296931065846,-0.10005988936323175,High
11-9039,0.3541265,"Education Administrators, All Other",50690.0,50690.0,88460.0,4.1,Bachelor's degree,0.0,11.390305751422318,10.833483931466395,8.088380351154073e-05,4.0,1.416506,0.36910415261745444,0.7935667036979316,-0.3120012156630607,-0.11565506335128593,Upper-middle
11-9041,0.8370105,Architectural and Engineering Managers,207800.0,207800.0,165370.0,14.5,Bachelor's degree,0.0,12.015940666644243,12.244331357647264,6.97786333012512e-05,4.0,3.348042,0.8480278398827799,3.3464633628026075,0.0658797972416049,-0.13410000380648116,Upper-middle
11-9051,-0.1213112,Food Service Managers,246070.0,246070.0,63060.0,42.0,High school diploma or equivalent,0.0,11.051841933099052,12.413371327282546,0.00017068313894420288,1.0,-0.1213112,-0.10243430454605822,-0.04954310180536802,0.1579268112054618,0.033495590227788974,Lower-middle
11-9071,0.8299207,Gambling Managers,4590.0,4590.0,82380.0,0.6,High school diploma or equivalent,0.0,11.319097967990071,8.431635303054591,0.000130718954248366,1.0,0.8299207,0.8409961859908022,0.5917514431680079,-0.42288094766551176,-0.03288223137211222,Upper-middle
11-9081,0.4021726,Lodging Managers,41980.0,41980.0,65360.0,5.4,High school diploma or equivalent,0.0,11.087665729533885,10.644948593374624,0.00012863268222963316,1.0,0.4021726,0.41675620853713397,0.02680148688193864,-0.3329505099307689,-0.0363473888105108,Upper-middle
11-9111,1.260259,Medical and Health Services Managers,515100.0,515100.0,110680.0,62.1,Bachelor's degree,0.0,11.614398433900861,13.152116335553677,0.00012055911473500292,4.0,5.041036,1.2678051202431109,1.5311218170161724,0.8049978372492667,-0.04975704115077619,High
11-9121,1.327906,Natural Sciences Managers,96520.0,96520.0,157740.0,8.5,Bachelor's degree,0.0,11.968703386951981,11.477505519738967,8.806464981351016e-05,4.0,5.311624,1.3348973218328042,3.0931984881573253,-0.201770887730906,-0.10372816084104682,High
11-9131,0.8233757,Postmasters and Mail Superintendents,13810.0,13810.0,88670.0,0.9,High school diploma or equivalent,0.0,11.392676892374054,9.533148246403337,6.517016654598118e-05,1.0,0.8233757,0.8345048639897595,0.8005372965780769,-0.40070500126502157,-0.14175435698442188,Upper-middle
11-9141,1.215396,"Property, Real Estate, and Community Association Managers",284120.0,284120.0,62850.0,39.0,High school diploma or equivalent,0.0,11.048506214018394,12.557151963111746,0.00013726594396733775,1.0,1.215396,1.223310058526872,-0.056513694685513406,0.24944468111204013,-0.022008121994183026,High
11-9151,1.156153,Social and Community Service Managers,173650.0,173650.0,77030.0,18.6,Bachelor's degree,0.0,11.251950235347012,12.06479705817222,0.00010711200691045207,4.0,4.624612,1.1645529325822153,0.41416729122144674,-0.01625779164958172,-0.07209178239486953,High
11-9161,1.030768,Emergency Management Directors,11910.0,11910.0,83960.0,1.0,Bachelor's degree,0.0,11.338095773934569,9.385133662349347,8.396305625524769e-05,4.0,4.123072,1.040196261978586,0.6441968562662447,-0.40527488175969956,-0.11054063174612726,High
11-9199,0.9646872,"Managers, All Other",589750.0,589750.0,133560.0,106.7,Bachelor's degree,0.0,11.802306094057592,13.287453997269921,0.00018092412038999577,4.0,3.8587488,0.9746574153954677,2.2905845079577274,0.9845460366849059,0.05050517129619875,Upper-middle
13-1011,1.068559,"Agents and Business Managers of Artists, Performers, and Athletes",12870.0,12870.0,84900.0,2.2,Bachelor's degree,0.0,11.349229372299439,9.462654300590172,0.00017094017094017097,4.0,4.274236,1.0776773238183734,0.6753985577297525,-0.402965889509757,0.03392250307747394,High
13-1031,1.274024,"Claims Adjusters, Examiners, and Investigators",293780.0,293780.0,75050.0,21.1,High school diploma or equivalent,0.0,11.225909837061607,12.590586466885405,7.182245217509701e-05,1.0,1.274024,1.2814572283171146,0.3484445583515045,0.27267891562708735,-0.13070535818507853,High
13-1032,0.6634955,"Insurance Appraisers, Auto Damage",8670.0,8670.0,74520.0,0.5,Postsecondary nondegree award,0.0,11.218822824715525,9.067624069774588,5.7670126874279124e-05,2.0,1.326991,0.6759359014548283,0.3308521096539947,-0.4130677306032558,-0.15421141820334575,Upper-middle
13-1041,0.6981205,Compliance Officers,383620.0,383620.0,75670.0,33.3,Bachelor's degree,0.0,11.234137059688567,12.857407758275679,8.680465043532662e-05,4.0,2.792482,0.7102769288476637,0.369024403997648,0.4887621070175473,-0.10582093502317008,Upper-middle
13-1051,1.367669,Cost Estimators,220970.0,220970.0,74740.0,16.9,Bachelor's degree,0.0,11.221770703039475,12.30578222467915,7.648097026745712e-05,4.0,5.470676,1.3743342105612175,0.3381546355284327,0.0975562846705047,-0.12296787310417301,High
13-1071,1.36005,Human Resources Specialists,895970.0,895970.0,67650.0,81.8,Bachelor's degree,0.0,11.122102633598933,13.70566220925367,9.129769969976673e-05,4.0,5.4402,1.3667776968368561,0.10281414257495265,1.7210664604113823,-0.09835828253108407,High
13-1074,-0.4354025,Farm Labor Contractors,460.0,460.0,45730.0,0.3,No formal educational credential,0.0,10.7305098166521,6.131226489483141,0.0006521739130434782,0.0,-0.0,-0.4139496240305711,-0.624782980914509,-0.4328144247407856,0.8332193666142333,Lower-middle
13-1075,1.334834,Labor Relations Specialists,62800.0,62800.0,89980.0,5.1,Bachelor's degree,0.0,11.407342702395164,11.04771035245629,8.121019108280254e-05,4.0,5.339336,1.3417685027072466,0.8440205188304125,-0.2828742405101392,-0.11511295555795723,High
13-1081,1.297303,Logisticians,228470.0,228470.0,79400.0,26.4,Bachelor's degree,0.0,11.282253647235228,12.339160189668528,0.00011555127587867115,4.0,5.189212,1.3045453085099756,0.4928354108688019,0.11559528662318111,-0.05807472451493277,High
13-1111,1.432417,Management Analysts,838140.0,838140.0,99410.0,98.1,Bachelor's degree,0.0,11.50700799120619,13.63894042994965,0.00011704488510272747,4.0,5.729668,1.4385511879368509,1.1570333324483697,1.5819737293549454,-0.055593940098362285,High
13-1121,0.3740207,"Meeting, Convention, and Event Planners",122130.0,122130.0,56920.0,15.5,Bachelor's degree,0.0,10.949402052203789,11.712841330165134,0.00012691394415786456,4.0,1.4960828,0.38883519282419937,-0.2533499603010475,-0.14017370906316692,-0.03920209709426816,Upper-middle
13-1131,1.242567,Fundraisers,101730.0,101730.0,64160.0,10.2,Bachelor's degree,0.0,11.069135242540396,11.530077523787794,0.00010026540843409024,4.0,4.970268,1.2502582189684814,-0.013030472433177879,-0.1892397943744468,-0.08346352175822612,High
13-1141,1.440985,"Compensation, Benefits, and Job Analysis Specialists",99850.0,99850.0,74530.0,8.5,Bachelor's degree,0.0,11.218957007875739,11.51142433884396,8.512769153730596e-05,4.0,5.76394,1.4470489185563977,0.3311840426482874,-0.19376157086391768,-0.10860625091064213,High
13-1151,1.198409,Training and Development Specialists,403480.0,403480.0,64340.0,43.9,Bachelor's degree,0.0,11.071936800793017,12.907882199168771,0.00010880341033012789,4.0,4.793636,1.2064623752829127,-0.0070556785359104,0.5365293841882345,-0.06928247512889646,High
13-1161,1.426757,Market Research Analysts and Marketing Specialists,846370.0,846370.0,74680.0,87.2,Bachelor's degree,0.0,11.220967597655658,13.648711895223606,0.00010302822642579487,4.0,5.707028,1.4329376077189895,0.3361630375626769,1.6017685274976823,-0.07887466698332884,High
13-1199,1.047687,"Business Operations Specialists, All Other",1103440.0,1103440.0,79590.0,108.2,Bachelor's degree,0.0,11.284643735799895,13.913943130749402,9.805698542739071e-05,4.0,4.190748,1.0569765029160412,0.499142137760362,2.2200733584276193,-0.08713156376812826,High
13-2011,1.481956,Accountants and Auditors,1435770.0,1435770.0,79880.0,124.2,Bachelor's degree,0.0,11.288280787529752,14.177211848631263,8.650410581081928e-05,4.0,5.927824,1.4876839000238882,0.5087681945948485,3.019393560952013,-0.10632011942090498,High
13-2031,1.502988,Budget Analysts,47310.0,47310.0,84940.0,3.1,Bachelor's degree,0.0,11.349700403867262,10.764476968625194,6.552525893045868e-05,4.0,6.011952,1.5085434087062308,0.6767262897069232,-0.32013079254306687,-0.14116457242788152,High
13-2041,1.345268,Credit Analysts,73200.0,73200.0,79420.0,3.7,Bachelor's degree,0.0,11.282505504685242,11.200950699949402,5.0546448087431695e-05,4.0,5.381072,1.3521169295611624,0.49349927685738715,-0.2578601578024279,-0.16604336931775487,High
13-2051,1.380615,Financial and Investment Analysts,325220.0,325220.0,99010.0,25.1,Bachelor's degree,0.0,11.50297613411656,12.692257155379714,7.717852530594674e-05,4.0,5.52246,1.3871740355612938,1.1437560126766644,0.34829841181270693,-0.12180928112354392,High
13-2052,1.400749,Personal Financial Advisors,272190.0,272190.0,99580.0,24.1,Bachelor's degree,0.0,11.508716620196173,12.514255630831784,8.854109261912635e-05,4.0,5.602996,1.4071429090783292,1.1626761933513445,0.22075064200598285,-0.10293682140063425,High
13-2053,1.326652,Insurance Underwriters,101310.0,101310.0,77860.0,8.2,Bachelor's degree,0.0,11.262667621164447,11.525940402047723,8.093969006021122e-05,4.0,5.306608,1.3336536063569742,0.4417177297477357,-0.19024997848379666,-0.11556223955453598,High
13-2061,1.526064,Financial Examiners,63440.0,63440.0,84300.0,5.7,Bachelor's degree,0.0,11.342137143989946,11.05784985630873,8.984867591424968e-05,4.0,6.104256,1.531430153778204,0.6554825780721943,-0.28133491234351077,-0.10076501353438372,High
13-2071,1.385381,Credit Counselors,27950.0,27950.0,48570.0,2.2,Bachelor's degree,0.0,10.790761335339791,10.238172478583245,7.871198568872988e-05,4.0,5.541524,1.3919009478083482,-0.5305140105353999,-0.36669546958357563,-0.11926230661390257,High
13-2072,1.385739,Loan Officers,321090.0,321090.0,69990.0,20.3,Bachelor's degree,0.0,11.156107653683586,12.679476736646532,6.322214955308481e-05,4.0,5.542956,1.3922560117161211,0.18048646323942988,0.3383649347374331,-0.1449898821280518,High
13-2081,1.36682,"Tax Examiners and Collectors, and Revenue Agents",50250.0,50250.0,58530.0,4.3,Bachelor's degree,0.0,10.977294722285267,10.824765825921322,8.557213930348258e-05,4.0,5.46728,1.3734921735285384,-0.19990874821993287,-0.3130595037776177,-0.10786805307780059,High
13-2082,1.29371,Tax Preparers,81650.0,81650.0,49010.0,10.4,High school diploma or equivalent,0.0,10.799779637903594,11.31019709839861,0.00012737293325168402,1.0,1.29371,1.3009817760501212,-0.5159089587865239,-0.23753621560241245,-0.0384397470946941,High
13-2099,1.361362,"Financial Specialists, All Other",122730.0,122730.0,78310.0,10.3,Bachelor's degree,0.0,11.268430587744984,11.717742099591554,8.392406094679379e-05,4.0,5.445448,1.3680789366329398,0.4566547144909044,-0.1387305889069528,-0.11060540032948475,High
15-2011,1.516474,Actuaries,25470.0,25470.0,120000.0,2.4,Bachelor's degree,0.0,11.695247021764184,10.145256567973503,9.422850412249705e-05,4.0,6.065896,1.5219188049638417,1.8404833676969108,-0.37266036622926063,-0.0934904135980176,High
15-2021,1.472319,Mathematicians,2220.0,2220.0,116440.0,0.1,Master's degree,0.0,11.66513139785956,7.705262474866325,4.5045045045045046e-05,5.0,7.3615949999999994,1.478125936674148,1.7223152217287316,-0.4285812722825575,-0.17518082958313932,High
15-2031,1.40002,Operations Research Analysts,117880.0,117880.0,83640.0,9.6,Bachelor's degree,0.0,11.334277153542569,11.67742243685163,8.143875127248048e-05,4.0,5.60008,1.4064198878806577,0.6335750004488803,-0.15039581016968356,-0.11473333246265953,High
15-2041,1.382724,Statisticians,29950.0,29950.0,104110.0,2.0,Master's degree,0.0,11.553203311468799,10.307284603543595,6.67779632721202e-05,5.0,6.91362,1.3892657388615537,1.3130418397659096,-0.3618850690628619,-0.13908391481054017,High
17-1011,1.047142,"Architects, Except Landscape and Naval",111170.0,111170.0,93310.0,7.8,Bachelor's degree,0.0,11.443682562228068,11.618815840227661,7.016281370873437e-05,4.0,4.188568,1.0564359726653814,0.9545542059298608,-0.16653470391667807,-0.1334619060010541,High
17-1012,1.034388,Landscape Architects,20370.0,20370.0,79320.0,1.7,Bachelor's degree,0.0,11.281245582633732,9.921818509220852,8.345606283750614e-05,4.0,4.137552,1.0437865730013172,0.49017994691446076,-0.38492688755708054,-0.11138271369753709,High
17-1021,0.8169979,Cartographers and Photogrammetrists,12330.0,12330.0,76210.0,1.0,Bachelor's degree,0.0,11.241247966660163,9.41979059615839,8.110300081103001e-05,4.0,3.2679916,0.8281793707188274,0.38694878568945046,-0.40426469765034967,-0.11529099138656511,Upper-middle
17-1022,0.1460606,Surveyors,50740.0,50740.0,68540.0,3.9,Bachelor's degree,0.0,11.1351727954286,10.834469833153273,7.686243594797004e-05,4.0,0.5842424,0.16274467907478476,0.1323561790669974,-0.31188095565004287,-0.12233428427757025,Upper-middle
17-2011,1.338738,Aerospace Engineers,66660.0,66660.0,130720.0,4.5,Bachelor's degree,0.0,11.78081291009383,11.10736035186173,6.75067506750675e-05,4.0,5.354952,1.3456404845394956,2.1963155375786183,-0.27359016750516174,-0.1378734479741648,High
17-2021,0.9409636,Agricultural Engineers,1860.0,1860.0,88750.0,0.1,Bachelor's degree,0.0,11.393578707337662,7.528331766707247,5.3763440860215054e-05,4.0,3.7638544,0.9511283815339033,0.8031927605324181,-0.42944714437628595,-0.16070016079279204,Upper-middle
17-2031,0.9874239,Bioengineers and Biomedical Engineers,19320.0,19320.0,100730.0,1.3,Bachelor's degree,0.0,11.520198948936727,9.86889610776651,6.728778467908903e-05,4.0,3.9496956,0.9972076431939567,1.200848487694998,-0.3874523478304553,-0.1382371357593185,Upper-middle
17-2041,1.341336,Chemical Engineers,21140.0,21140.0,112100.0,1.1,Bachelor's degree,0.0,11.62714660906025,9.958922259424229,5.203405865657522e-05,4.0,5.365344,1.3482171773674116,1.578256302205727,-0.3830748833566058,-0.16357254826334658,High
17-2051,1.282867,Civil Engineers,327950.0,327950.0,95890.0,23.6,Bachelor's degree,0.0,11.470956980147728,12.700616436721882,7.196218935813387e-05,4.0,5.131468,1.290227703558554,1.0401929184573613,0.3548646085234811,-0.13047326412693402,High
17-2061,1.141812,Computer Hardware Engineers,82660.0,82660.0,138080.0,4.7,Bachelor's degree,0.0,11.835588506317254,11.322491088065723,5.685942414710864e-05,4.0,4.567248,1.1503295485001748,2.4406182213779997,-0.23510696333945202,-0.1555579408811944,High
17-2071,1.126725,Electrical Engineers,185430.0,185430.0,106950.0,11.7,Bachelor's degree,0.0,11.580116714510552,12.130432731321429,6.309658631289435e-05,4.0,4.5069,1.1353662826438367,1.4073108101450187,0.01207546741742204,-0.1451984342208895,High
17-2072,0.6654578,"Electronics Engineers, Except Computer",96410.0,96410.0,119200.0,5.7,Bachelor's degree,0.0,11.688558033613386,11.476365209658425,5.91224976662172e-05,4.0,2.6618312,0.677882107896791,1.8139287281534997,-0.20203545975954526,-0.15179912804759998,Upper-middle
17-2081,1.343561,Environmental Engineers,39880.0,39880.0,100090.0,3.0,Bachelor's degree,0.0,11.513825060213065,10.593630224075774,7.522567703109328e-05,4.0,5.374244,1.3504239293081786,1.1796047760602693,-0.3380014304775183,-0.12505283070140885,High
17-2111,0.9948935,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",22510.0,22510.0,103690.0,1.5,Bachelor's degree,0.0,11.549160957552324,10.021714933900778,6.663705019991116e-05,4.0,3.979574,1.0046159822037335,1.2991006540056187,-0.3797797589999169,-0.1393179619414744,Upper-middle
17-2112,1.13787,Industrial Engineers,332870.0,332870.0,99380.0,25.2,Bachelor's degree,0.0,11.506706165156311,12.715507302350023,7.570523027007541e-05,4.0,4.55148,1.146419878320173,1.156037533465492,0.36669819380443686,-0.12425632504047573,High
17-2121,0.5472173,Marine Engineers and Naval Architects,9960.0,9960.0,100270.0,0.6,Bachelor's degree,0.0,11.515621826517972,9.206332350578643,6.0240963855421684e-05,4.0,2.1888692,0.5606113425699306,1.1855795699575367,-0.40996502226739545,-0.14994143096863843,Upper-middle
17-2131,1.037278,Materials Engineers,24630.0,24630.0,104100.0,1.5,Bachelor's degree,0.0,11.553107254603061,10.111720491114584,6.090133982947625e-05,4.0,4.149112,1.0466528710277516,1.3127099067716168,-0.37468073444796035,-0.14884459091226612,High
17-2141,1.004709,Mechanical Engineers,281290.0,281290.0,99510.0,18.1,Bachelor's degree,0.0,11.508013420609208,12.547141444610368,6.434640406697714e-05,4.0,4.018836,1.0143509816080476,1.160352662391296,0.24263796437523025,-0.14312257103127865,Upper-middle
17-2151,1.34695,"Mining and Geological Engineers, Including Mining Safety Engineers",7040.0,7040.0,100640.0,0.4,Bachelor's degree,0.0,11.519305071934268,8.859363449152088,5.681818181818182e-05,4.0,5.3878,1.35378513484852,1.1978610907463643,-0.41698820702763745,-0.15562644161435596,High
17-2161,1.303009,Nuclear Engineers,12710.0,12710.0,125460.0,0.8,Bachelor's degree,0.0,11.739742261650735,9.4501443641835,6.294256490952006e-05,4.0,5.212036,1.31020451146459,2.021718782580691,-0.4033507215514141,-0.14545425340783288,High
17-2171,1.247779,Petroleum Engineers,20390.0,20390.0,135690.0,1.2,Bachelor's degree,0.0,11.818128151139998,9.922799863568502,5.88523786169691e-05,4.0,4.991116,1.255427473402314,2.361286235742059,-0.38487878355187344,-0.15224777761215855,High
17-2199,0.787566,"Engineers, All Other",150990.0,150990.0,111970.0,9.3,Bachelor's degree,0.0,11.625986257254242,11.924968888438515,6.159348301212001e-05,4.0,3.150264,0.798988852765811,1.5739411732799227,-0.07075962954926807,-0.14769498766003458,Upper-middle
17-3011,0.9233925,Architectural and Civil Drafters,111070.0,111070.0,61820.0,10.0,Associate's degree,0.0,11.031982215686106,11.617915912161166,9.003331232556046e-05,3.0,2.7701775,0.9337013887130441,-0.09070279309765508,-0.16677522394271374,-0.10045834487933396,Upper-middle
17-3012,0.910166,Electrical and Electronics Drafters,20680.0,20680.0,69260.0,1.7,Associate's degree,0.0,11.145622817956413,9.936922328622366,8.220502901353965e-05,3.0,2.730498,0.9205833641986373,0.15625535465606732,-0.38418127547636993,-0.11346059669739571,Upper-middle
17-3013,0.8410071,Mechanical Drafters,44850.0,44850.0,64060.0,3.3,Associate's degree,0.0,11.067575423163149,10.711078867486941,7.357859531772575e-05,3.0,2.5230213,0.85199166226771,-0.016349802376104255,-0.32604758518354476,-0.12778852259560028,Upper-middle
17-3021,0.3909402,Aerospace Engineering and Operations Technologists and Technicians,10640.0,10640.0,77830.0,0.9,Associate's degree,0.0,11.262282239953434,9.272375762895635,8.458646616541354e-05,3.0,1.1728206,0.405615929660967,0.44072193076485777,-0.4083294860903528,-0.10950518983443701,Upper-middle
17-3022,0.9323219,Civil Engineering Technologists and Technicians,63560.0,63560.0,60700.0,5.5,Associate's degree,0.0,11.01369897704759,11.059739620650653,8.653241032095658e-05,3.0,2.7969657000000003,0.9425575553556892,-0.1278792884584305,-0.28104628831226797,-0.10627310753417026,Upper-middle
17-3023,0.3515252,Electrical and Electronic Engineering Technologists and Technicians,97420.0,97420.0,72800.0,8.4,Associate's degree,0.0,11.195471234184778,11.486786807360534,8.622459453910902e-05,3.0,1.0545756,0.36652418685407584,0.27375963463566105,-0.19960620749658484,-0.10678436883497291,Upper-middle
17-3024,-0.3040507,Electro-Mechanical and Mechatronics Technologists and Technicians,15360.0,15360.0,65080.0,1.3,Associate's degree,0.0,11.083372561332974,9.639522006701663,8.463541666666667e-05,3.0,-0.9121521,-0.28367508939091113,0.017507363041744786,-0.3969769408614684,-0.10942388634572242,Lower-middle
17-3025,0.0438054,Environmental Engineering Technologists and Technicians,13780.0,13780.0,54000.0,1.1,Associate's degree,0.0,10.896739325546411,9.53097354456765,7.982583454281569e-05,3.0,0.1314162,0.06132811230915719,-0.3502743946344977,-0.40077715727283225,-0.11741227861787382,Upper-middle
17-3026,0.6106679,Industrial Engineering Technologists and Technicians,73020.0,73020.0,62610.0,6.3,Associate's degree,0.0,11.044680288739356,11.198488655209628,8.627773212818406e-05,3.0,1.8320037,0.623541560409406,-0.06448008654853671,-0.2582930938492921,-0.10669611087513421,Upper-middle
17-3027,-0.1192367,Mechanical Engineering Technologists and Technicians,38930.0,38930.0,64020.0,3.2,Associate's degree,0.0,11.066950813523855,10.569520440604501,8.219881839198562e-05,3.0,-0.35771010000000003,-0.1003768182983633,-0.017677534353274803,-0.34028637072485735,-0.11347091212188579,Upper-middle
17-3029,0.1941278,"Engineering Technologists and Technicians, Except Drafters, All Other",66200.0,66200.0,73500.0,5.7,Associate's degree,0.0,11.205040685200927,11.1004357419251,8.610271903323264e-05,3.0,0.5823834,0.21041766194545317,0.2969949442361457,-0.2746965596249259,-0.10698679584926162,Upper-middle
17-3031,0.0852324,Surveying and Mapping Technicians,56050.0,56050.0,48940.0,7.6,High school diploma or equivalent,0.0,10.798350336996663,10.933999428500305,0.00013559322033898305,1.0,0.0852324,0.10241535394967674,-0.5182324897465723,-0.299109342267548,-0.024786403383730154,Upper-middle
19-1011,1.041358,Animal Scientists,2460.0,2460.0,70140.0,0.2,Bachelor's degree,0.0,11.15824852369417,7.807916628926408,8.130081300813008e-05,4.0,4.165432,1.0506994094180122,0.18546545815381943,-0.42800402422007183,-0.11496243863791461,High
19-1012,0.7943575,Food Scientists and Technologists,14100.0,14100.0,82090.0,1.2,Bachelor's degree,0.0,11.315571485342312,9.55393007636626,8.51063829787234e-05,4.0,3.17743,0.8057246531279321,0.5821253863335214,-0.40000749318951806,-0.10864164299260026,Upper-middle
19-1013,0.6320696,Soil and Plant Scientists,15800.0,15800.0,68240.0,1.7,Bachelor's degree,0.0,11.130786182165561,9.667765219015058,0.00010759493670886076,4.0,2.5282784,0.6447677370434347,0.12239818923821828,-0.3959186527469114,-0.07128966849593672,Upper-middle
19-1021,0.9060509,Biochemists and Biophysicists,33180.0,33180.0,107460.0,2.9,Doctoral or professional degree,0.0,11.584873964282812,10.409702563744435,8.740204942736587e-05,6.0,5.4363054,0.9165020136766371,1.4242393928539432,-0.3541162722219092,-0.10482869549622001,Upper-middle
19-1022,0.6955647,Microbiologists,21540.0,21540.0,85470.0,1.7,Bachelor's degree,0.0,11.355920716160064,9.977666950710379,7.892293407613742e-05,4.0,2.7822588,0.7077420899217255,0.6943187384044329,-0.38211280325246305,-0.1189119355370823,Upper-middle
19-1023,0.3175953,Zoologists and Wildlife Biologists,17100.0,17100.0,70600.0,1.4,Bachelor's degree,0.0,11.164785423481334,9.746833742490752,8.187134502923976e-05,4.0,1.2703812,0.33287255868552246,0.20073437589128076,-0.3927918924084475,-0.11401482334180689,Upper-middle
19-1029,1.010193,"Biological Scientists, All Other",61220.0,61220.0,91100.0,4.8,Bachelor's degree,0.0,11.41971308324805,11.022229212499404,7.840574975498202e-05,4.0,4.040772,1.0197900052678976,0.8811970141911879,-0.286674456921503,-0.1197709438933192,Upper-middle
